N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
28,삼성생명,"65,400",100,-0.15%,500,"130,800","200,000",12.83,"298,357",8.90,4.01
29,크래프톤,"266,500","1,000",-0.37%,100,"130,777","49,072",28.90,"124,765",23.29,17.86
30,두산중공업,"20,850",100,+0.48%,"5,000","128,520","616,402",8.62,"4,027,548",20.32,10.67
31,현대중공업,"139,000","2,500",+1.83%,"5,000","123,395","88,773",4.09,"313,623",-13.03,-14.87
32,하이브,"297,000","4,500",-1.49%,500,"122,820","41,353",15.37,"193,876",82.36,6.83
33,고려아연,"634,000","9,000",+1.44%,"5,000","119,636","18,870",20.01,"26,835",14.83,11.07
34,S-Oil,"106,000","1,500",+1.44%,"2,500","119,338","112,583",79.46,"718,941",8.97,21.76
35,삼성전기,"159,000","1,000",-0.62%,"5,000","118,763","74,694",28.67,"427,644",13.83,14.29
36,LG,"74,800",0,0.00%,"5,000","117,661","157,301",36.48,"153,100",4.83,12.36
37,우리금융지주,"15,400",100,+0.65%,"5,000","112,121","728,061",35.25,"1,472,937",4.31,10.59
38,KT&G,"80,800","1,200",-1.46%,"5,000","110,932","137,292",37.29,"526,898",11.35,10.74
39,대한항공,"31,550",250,+0.80%,"5,000","109,737","347,821",13.51,"3,131,212",16.56,11.60
40,삼성에스디에스,"137,500",500,-0.36%,500,"106,394","77,378",12.78,"143,534",17.41,8.80
41,SK바이오사이언스,"138,000",500,-0.36%,500,"105,708","76,600",5.16,"137,717",28.58,38.08
42,삼성화재,"217,500","1,000",+0.46%,500,"103,040","47,375",48.81,"100,312",9.80,7.09
43,포스코케미칼,"130,500","3,500",+2.76%,500,"101,090","77,463",6.12,"601,767",74.02,7.92
44,엔씨소프트,"447,000","11,500",-2.51%,500,"98,134","21,954",42.02,"121,659",24.73,12.62
45,아모레퍼시픽,"163,000","1,500",+0.93%,500,"95,343","58,493",26.97,"267,099",58.09,4.20
46,LG이노텍,"399,000","25,500",+6.83%,"5,000","94,432","23,667",25.69,"896,112",10.63,30.94
47,KT,"35,350",600,-1.67%,"5,000","92,303","261,112",41.84,"1,670,058",6.80,9.36
48,SK아이이테크놀로지,"125,000",500,+0.40%,"1,000","89,122","71,298",9.63,"234,150",89.73,5.57
49,넷마블,"103,500","1,000",-0.96%,100,"88,962","85,954",22.82,"130,453",37.03,4.29
